
Hyperleda Values

| Galaxy   |     RA      |     Dec     | Vt    |modbest| bri25 |logd25|logr25|Const|
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| And I    | 00 45 39.93 | +38 02 19.8 | 12.75 | 24.33 | 25.42 | 1.60 | 0.12 | And |
| And II   | 01 16 26.68 | +33 25 50.1 | 12.14 | 24.02 | 26.43 | 1.60 | 0.20 | Psc |
| And III  | 00 35 31.11 | +36 30 06.8 | 14.27 | 24.34 | 26.98 | 1.70 | 0.22 | And |
| And V    | 01 10 17.07 | +47 37 43.5 | 15.71 | 24.39 | 26.91 | 1.30 | 0.13 | And |
| And IX   | 00 52 52.52 | +43 11 54.9 | 16.41 | 24.43 | --    | --   | --   | And |
| And X    | 01 06 34.80 | +44 48 15.3 | 16.92 | 24.05 | --    | --   | --   | And |
| IC 10    | 00 20 23.11 | +59 17 34.9 | 10.35 | 24.50 | 24.53 | 1.83 | 0.05 | Cas |
| NGC 147  | 00 33 12.11 | +48 30 31.8 |  9.72 | 24.25 | 24.30 | 1.97 | 0.24 | Cas | 
| NGC 185  | 00 38 57.99 | +48 20 14.5 | 11.89 | 24.11 | 24.58 | 2.11 | 0.08 | Cas |
| M 32     | 00 42 41.79 | +40 51 54.4 |  8.13 | 24.50 | 22.17 | 1.89 | 0.20 | And |
| M 110    | 00 40 22.10 | +41 41 07.0 |  8.15 | 24.52 | 23.78 | 2.21 | 0.23 | And |
| M 31     | 00 42 44.33 | +41 16 08.1 |  6.75 | 24.46 | 23.63 | 3.25 | 0.41 | And |

Simbad Values 

| Galaxy   |  RA          | Dec          | Type  | V     | ang size        |
| --- | --- | --- | --- | --- | --- |
| And I    | 00 45 39.8   | +38 02 28    | dSph   | 12.7  |  5.92' x  5.92' | 
| And II   | 01 16 29.8   | +33 25 09    | dGsp   | 11.7  | 10.36' x 10.36' |
| And III  | 00 35 33.8   | +38 29 52    | dSph   | 14.4  |  4.22' x  4.22' |
| And V    | 01 10 17.1   | +47 37 41    | dSph   | 15.3  |  2.77' x  2.77' |
| And IX   | 00 52 53.0   | +43 11 45    | dGsp   | 16.3  |  --             |
| And X    | 01 06 33.7   | +44 48 15.8  | dGsp   | 16.6  |  --             |
| IC 10    | 00 20 17.335 | +59 18 13.65 | dIrr   |  9.5  |  8.0'  x  7.0'  |
| NGC 147  | 00 33 12.120 | +48 30 31.46 | dGspD  |  9.5  | 12.59' x  7.08' |
| NGC 185  | 00 38 57.940 | +48 20 15.04 | dGspD  |  9.2  | 11.48' x  9.55' |
| M 32     | 00 42 41.825 | +40 51 54.61 | cE2    |  8.08 |  3.38' x  2.73' |
| M 110    | 00 40 22.057 | +41 41 07.51 | E5pec  |  8.07 |  3.33' x  2.10' |
| M 31     | 00 42 44.330 | +41 16 07.50 | Sa(s)b |  3.44 | 199.5' x 70.79' |

Simbad Distances:

And I:
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
 |    0.73    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.73    Mpc |                       |T-RDB   |2017AJ....153....6K|
 |    0.75    Mpc |                       |        |2016AJ....152...50T|
 |    0.75    Mpc |  -0.08       +0.08    |        |2013AJ....146...86T|
 |  727       kpc | -17         +18       |T-RGB   |2012ApJ...758...11C|
 |    0.79    Mpc |                       |        |2008ApJ...676..184T|

And II:
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
 |    0.65    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.65    Mpc |                       |T-RDB   |2017AJ....153....6K|
 |    0.65    Mpc |                       |        |2016AJ....152...50T|
 |    0.65    Mpc |  -0.08       +0.08    |        |2013AJ....146...86T|
 |  630       kpc | -15         +15       |T-RGB   |2012ApJ...758...11C|
 |    0.68    Mpc |                       |        |2008ApJ...676..184T|

And III:
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
 |    0.75    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.75    Mpc |                       |T-RDB   |2017AJ....153....6K|
 |    0.73    Mpc |                       |        |2016AJ....152...50T|
 |    0.74    Mpc |  -0.08       +0.08    |        |2013AJ....146...86T|
 |  723       kpc | -24         +18       |T-RGB   |2012ApJ...758...11C|
 |    0.75    Mpc |                       |        |2008ApJ...676..184T|

And V:
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
 |    0.81    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.81    Mpc |                       |T-RDB   |2017AJ....153....6K|
 |    0.74    Mpc |  -0.14       +0.14    |        |2013AJ....146...86T|
 |  742       kpc | -22         +21       |T-RGB   |2012ApJ...758...11C|
 |    0.81    Mpc |                       |T-RGB   |2008ApJ...676..184T|

And IX: 
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
 |    0.816   Mpc |  +0.01       +0.05    |T-RGB   |2023ApJ...948...63A|
 |    0.79    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.79    Mpc |                       |T-RDB   |2017AJ....153....6K|
 |    0.60    Mpc |  -0.14       +0.14    |        |2013AJ....146...86T|
 |  600       kpc | -23         +91       |T-RGB   |2012ApJ...758...11C|

And X:
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
 |    0.63    Mpc |                       |redshift|2018MNRAS.479.4136K|
 |    0.63    Mpc |                       |HB      |2017AJ....153....6K|
 |    0.67    Mpc |  -0.14       +0.14    |        |2013AJ....146...86T|
 |  670       kpc | -39         +24       |T-RGB   |2012ApJ...758...11C|

IC 10:
 | distance Q unit|  err-        err+     | method |     reference     |
 |----------------|-----------------------|--------|-------------------|
