| Date 3h UT  |     RA          Dec     |   Az.    Alt. |  Air  | Mag.  | Sun  | Earth |
| ----------- | ----------------------- | ------------- | ----- | ----- | ---- | ---- |
| 2026-Oct-01 | 00 16 58.30 +08 40 23.7 | 142.61  50.72 | 1.290 | 8.453 | 1.82 | 0.82 |
| 2026-Oct-04 | 00 14 07.41 +08 42 13.9 | 147.87  52.29 | 1.263 | 8.505 | 1.82 | 0.82 |
| 2026-Oct-07 | 00 11 21.24 +08 43 13.7 | 153.43  53.63 | 1.241 | 8.597 | 1.81 | 0.82 |
| 2026-Oct-10 | 00 08 42.83 +08 43 35.7 | 159.25  54.70 | 1.224 | 8.700 | 1.81 | 0.83 |
| 2026-Oct-13 | 00 06 15.06 +08 43 34.0 | 165.26  55.50 | 1.212 | 8.806 | 1.81 | 0.83 |
| 2026-Oct-16 | 00 04 00.53 +08 43 22.5 | 171.37  56.02 | 1.205 | 8.911 | 1.81 | 0.84 |
| 2026-Oct-19 | 00 02 01.43 +08 43 14.8 | 177.48  56.27 | 1.201 | 9.015 | 1.81 | 0.85 |
| 2026-Oct-22 | 00 00 19.55 +08 43 23.2 | 183.50  56.25 | 1.202 | 9.118 | 1.81 | 0.87 |
| 2026-Oct-25 | 23 58 56.24 +08 43 58.8 | 189.34  55.99 | 1.205 | 9.220 | 1.82 | 0.88 |
| 2026-Oct-28 | 23 57 52.44 +08 45 11.1 | 194.93  55.51 | 1.212 | 9.319 | 1.82 | 0.90 |
| 2026-Oct-31 | 23 57 08.78 +08 47 08.3 | 200.24  54.84 | 1.222 | 9.418 | 1.82 | 0.91 |
| 2026-Nov-03 | 23 56 45.69 +08 49 58.1 | 205.23  54.02 | 1.235 | 9.515 | 1.82 | 0.93 |
| 2026-Nov-06 | 23 56 43.43 +08 53 47.7 | 209.89  53.06 | 1.250 | 9.610 | 1.82 | 0.95 |
| 2026-Nov-09 | 23 57 02.05 +08 58 43.6 | 214.24  52.01 | 1.267 | 9.703 | 1.82 | 0.97 |
| 2026-Nov-12 | 23 57 41.36 +09 04 50.6 | 218.28  50.89 | 1.287 | 9.795 | 1.82 | 1.00 |
| 2026-Nov-15 | 23 58 40.95 +09 12 12.2 | 222.05  49.71 | 1.310 | 9.884 | 1.83 | 1.02 |
| 2026-Nov-18 | 00 00 00.22 +09 20 50.2 | 225.55  48.49 | 1.334 | 9.972 | 1.83 | 1.05 |
| 2026-Nov-21 | 00 01 38.41 +09 30 45.1 | 228.82  47.26 | 1.360 |10.057 | 1.83 | 1.07 |
| 2026-Nov-24 | 00 03 34.68 +09 41 56.0 | 231.88  46.01 | 1.388 |10.140 | 1.83 | 1.10 |
| 2026-Nov-27 | 00 05 48.13 +09 54 21.3 | 234.75  44.76 | 1.418 |10.221 | 1.83 | 1.13 |
| 2026-Nov-30 | 00 08 17.93 +10 07 59.3 | 237.45  43.51 | 1.450 |10.300 | 1.84 | 1.15 |
