| Date 3h UT  |     RA / Dec            |   Az. / Alt.  |  Air  | Mag.  | Sun  | Earth |
| ----------- | ----------------------- | ------------- | ----- | ----- | ---- | ---- |
| 2026-Oct-01 | 01 26 23.22 -12 33 10.9 | 136.41  23.80 | 2.463 | 8.288 | 2.82 | 1.86 |
| 2026-Oct-04 | 01 24 15.16 -13 22 32.1 | 140.10  24.80 | 2.370 | 8.267 | 2.81 | 1.86 |
| 2026-Oct-07 | 01 22 01.36 -14 10 47.0 | 143.85  25.68 | 2.295 | 8.259 | 2.81 | 1.85 |
| 2026-Oct-10 | 01 19 43.22 -14 57 35.5 | 147.66  26.44 | 2.235 | 8.264 | 2.80 | 1.85 |
| 2026-Oct-13 | 01 17 22.23 -15 42 38.5 | 151.52  27.07 | 2.187 | 8.281 | 2.79 | 1.85 |
| 2026-Oct-16 | 01 14 59.99 -16 25 38.5 | 155.41  27.57 | 2.151 | 8.307 | 2.78 | 1.85 |
| 2026-Oct-19 | 01 12 38.07 -17 06 20.2 | 159.30  27.92 | 2.126 | 8.340 | 2.78 | 1.86 |
| 2026-Oct-22 | 01 10 18.04 -17 44 30.7 | 163.19  28.15 | 2.111 | 8.378 | 2.77 | 1.86 |
| 2026-Oct-25 | 01 08 01.42 -18 19 59.5 | 167.06  28.23 | 2.105 | 8.419 | 2.76 | 1.87 |
| 2026-Oct-28 | 01 05 49.60 -18 52 38.6 | 170.88  28.19 | 2.108 | 8.463 | 2.76 | 1.89 |
| 2026-Oct-31 | 01 03 43.93 -19 22 21.7 | 174.65  28.02 | 2.120 | 8.508 | 2.75 | 1.90 |
| 2026-Nov-03 | 01 01 45.68 -19 49 04.5 | 178.35  27.73 | 2.140 | 8.554 | 2.74 | 1.92 |
| 2026-Nov-06 | 00 59 56.07 -20 12 44.2 | 181.97  27.33 | 2.168 | 8.600 | 2.73 | 1.93 |
| 2026-Nov-09 | 00 58 16.24 -20 33 20.3 | 185.50  26.82 | 2.206 | 8.647 | 2.73 | 1.95 |
| 2026-Nov-12 | 00 56 47.18 -20 50 54.4 | 188.93  26.22 | 2.252 | 8.693 | 2.72 | 1.98 |
| 2026-Nov-15 | 00 55 29.71 -21 05 30.0 | 192.26  25.54 | 2.307 | 8.738 | 2.71 | 2.00 |
| 2026-Nov-18 | 00 54 24.50 -21 17 12.4 | 195.49  24.78 | 2.372 | 8.783 | 2.71 | 2.02 |
| 2026-Nov-21 | 00 53 32.02 -21 26 07.7 | 198.62  23.95 | 2.449 | 8.827 | 2.70 | 2.05 |
| 2026-Nov-24 | 00 52 52.60 -21 32 23.1 | 201.64  23.05 | 2.536 | 8.869 | 2.69 | 2.08 |
| 2026-Nov-27 | 00 52 26.42 -21 36 06.0 | 204.55  22.11 | 2.637 | 8.911 | 2.68 | 2.10 |
| 2026-Nov-30 | 00 52 13.59 -21 37 23.5 | 207.37  21.12 | 2.753 | 8.950 | 2.68 | 2.13 |
