| Date 3h UT  |     RA / Dec            |   Az. / Alt.  |  Air  | Mag.  | Sun  | Earth |
| ----------- | ----------------------- | ------------- | ----- | ----- | ---- | ---- |
| 2026-Oct-01 | 01 41 14.38 -02 11 23.9 | 126.49  30.36 | 1.971 | 6.502 | 2.47 | 1.49 |
| 2026-Oct-04 | 01 38 38.06 -02 29 51.2 | 130.14  32.20 | 1.871 | 6.458 | 2.46 | 1.48 |
| 2026-Oct-07 | 01 35 54.74 -02 47 44.5 | 133.97  33.94 | 1.786 | 6.422 | 2.46 | 1.48 |
| 2026-Oct-10 | 01 33 06.24 -03 04 50.6 | 137.96  35.57 | 1.715 | 6.397 | 2.47 | 1.48 |
| 2026-Oct-13 | 01 30 14.55 -03 20 56.3 | 142.13  37.07 | 1.655 | 6.391 | 2.47 | 1.48 |
| 2026-Oct-16 | 01 27 21.69 -03 35 49.4 | 146.46  38.42 | 1.606 | 6.408 | 2.47 | 1.49 |
| 2026-Oct-19 | 01 24 29.70 -03 49 19.2 | 150.93  39.62 | 1.565 | 6.443 | 2.47 | 1.49 |
| 2026-Oct-22 | 01 21 40.54 -04 01 16.4 | 155.52  40.65 | 1.532 | 6.492 | 2.48 | 1.50 |
| 2026-Oct-25 | 01 18 56.04 -04 11 33.4 | 160.21  41.50 | 1.507 | 6.548 | 2.48 | 1.51 |
| 2026-Oct-28 | 01 16 17.91 -04 20 04.5 | 164.99  42.15 | 1.488 | 6.608 | 2.48 | 1.53 |
| 2026-Oct-31 | 01 13 47.67 -04 26 45.2 | 169.78  42.62 | 1.474 | 6.671 | 2.48 | 1.55 |
| 2026-Nov-03 | 01 11 26.78 -04 31 31.8 | 174.58  42.90 | 1.467 | 6.735 | 2.48 | 1.56 |
| 2026-Nov-06 | 01 09 16.54 -04 34 22.0 | 179.34  42.99 | 1.464 | 6.800 | 2.49 | 1.58 |
| 2026-Nov-09 | 01 07 18.16 -04 35 14.4 | 184.04  42.90 | 1.467 | 6.865 | 2.49 | 1.61 |
| 2026-Nov-12 | 01 05 32.60 -04 34 09.3 | 188.64  42.64 | 1.474 | 6.930 | 2.49 | 1.63 |
| 2026-Nov-15 | 01 04 00.65 -04 31 08.6 | 193.12  42.23 | 1.485 | 6.995 | 2.49 | 1.66 |
| 2026-Nov-18 | 01 02 42.85 -04 26 15.2 | 197.46  41.67 | 1.502 | 7.060 | 2.50 | 1.69 |
| 2026-Nov-21 | 01 01 39.55 -04 19 33.0 | 201.64  40.98 | 1.522 | 7.124 | 2.50 | 1.72 |
| 2026-Nov-24 | 01 00 50.90 -04 11 06.5 | 205.66  40.18 | 1.547 | 7.187 | 2.50 | 1.75 |
| 2026-Nov-27 | 01 00 16.91 -04 01 00.9 | 209.51  39.29 | 1.576 | 7.249 | 2.50 | 1.78 |
| 2026-Nov-30 | 00 59 57.47 -03 49 20.8 | 213.20  38.30 | 1.610 | 7.310 | 2.50 | 1.81 |
