| Date 3h UT  |       RA / Dec          |   Az. / Alt.  |  Air  |  Mag.  | Sun  | Earth |
| ----------- | ----------------------- | ------------- | ----- | ------ | ---- | ---- |
| 2026-Oct-01 | 22 14 17.97 -20 17 00.9 | 188.16  26.86 | 2.203 |  9.764 | 2.36 | 1.50 |
| 2026-Oct-04 | 22 12 59.06 -20 14 40.2 | 191.59  26.48 | 2.231 |  9.825 | 2.35 | 1.52 |
| 2026-Oct-07 | 22 11 56.12 -20 10 28.5 | 194.92  26.01 | 2.269 |  9.884 | 2.35 | 1.54 |
| 2026-Oct-10 | 22 11 09.62 -20 04 28.8 | 198.15  25.45 | 2.315 |  9.943 | 2.34 | 1.57 |
| 2026-Oct-13 | 22 10 39.84 -19 56 44.7 | 201.27  24.81 | 2.370 | 10.001 | 2.34 | 1.59 |
| 2026-Oct-16 | 22 10 26.84 -19 47 20.4 | 204.29  24.10 | 2.434 | 10.057 | 2.33 | 1.62 |
| 2026-Oct-19 | 22 10 30.52 -19 36 20.5 | 207.21  23.33 | 2.509 | 10.112 | 2.33 | 1.65 |
| 2026-Oct-22 | 22 10 50.59 -19 23 49.8 | 210.02  22.51 | 2.594 | 10.166 | 2.33 | 1.67 |
| 2026-Oct-25 | 22 11 26.67 -19 09 52.9 | 212.74  21.64 | 2.690 | 10.218 | 2.32 | 1.70 |
| 2026-Oct-28 | 22 12 18.27 -18 54 34.3 | 215.36  20.74 | 2.799 | 10.268 | 2.32 | 1.73 |
| 2026-Oct-31 | 22 13 24.92 -18 37 57.9 | 217.90  19.81 | 2.923 | 10.317 | 2.31 | 1.76 |
| 2026-Nov-03 | 22 14 46.11 -18 20 07.0 | 220.35  18.85 | 3.062 | 10.364 | 2.31 | 1.79 |
| 2026-Nov-06 | 22 16 21.37 -18 01 04.4 | 222.72  17.88 | 3.219 | 10.409 | 2.31 | 1.83 |
| 2026-Nov-09 | 22 18 10.20 -17 40 53.0 | 225.02  16.88 | 3.398 | 10.453 | 2.30 | 1.86 |
| 2026-Nov-12 | 22 20 12.02 -17 19 35.7 | 227.26  15.88 | 3.600 | 10.495 | 2.30 | 1.89 |
| 2026-Nov-15 | 22 22 26.24 -16 57 15.4 | 229.42  14.86 | 3.831 | 10.535 | 2.29 | 1.92 |
| 2026-Nov-18 | 22 24 52.23 -16 33 55.0 | 231.53  13.84 | 4.096 | 10.573 | 2.29 | 1.96 |
| 2026-Nov-21 | 22 27 29.36 -16 09 37.3 | 233.59  12.82 | 4.402 | 10.610 | 2.29 | 1.99 |
| 2026-Nov-24 | 22 30 17.00 -15 44 24.9 | 235.60  11.79 | 4.759 | 10.645 | 2.28 | 2.02 |
| 2026-Nov-27 | 22 33 14.56 -15 18 20.1 | 237.56  10.76 | 5.178 | 10.678 | 2.28 | 2.06 |
| 2026-Nov-30 | 22 36 21.53 -14 51 24.8 | 239.48   9.74 | 5.676 | 10.709 | 2.27 | 2.09 |

