| Date 04:00 UT |    RA      /     Dec    |  Azi. / Alt.  | Air Mass | Mag | Dist (AU) | 
| :-----------: | :---------------------: | :-----------: | ----: | ----: | -----: |
| 2026-Oct-15   | 01 48 09.81 -00 05 46.9 | 155.87  44.84 | 1.416 | 18.61 | 94.476 |
| 2026-Oct-18   | 01 48 03.05 -00 06 20.2 | 159.95  45.66 | 1.396 | 18.60 | 94.474 |
| 2026-Oct-21   | 01 47 56.26 -00 06 52.4 | 164.14  46.33 | 1.381 | 18.60 | 94.475 |
| 2026-Oct-24   | 01 47 49.46 -00 07 23.6 | 168.42  46.84 | 1.369 | 18.61 | 94.479 |
| 2026-Oct-27   | 01 47 42.67 -00 07 53.6 | 172.76  47.19 | 1.361 | 18.61 | 94.485 |
| 2026-Oct-30   | 01 47 35.91 -00 08 22.3 | 177.16  47.38 | 1.357 | 18.61 | 94.494 |
| 2026-Nov-02   | 01 47 29.20 -00 08 49.5 | 181.57  47.40 | 1.357 | 18.62 | 94.505 |
| 2026-Nov-05   | 01 47 22.55 -00 09 15.3 | 185.96  47.24 | 1.360 | 18.62 | 94.519 |
| 2026-Nov-08   | 01 47 15.99 -00 09 39.5 | 190.32  46.93 | 1.367 | 18.63 | 94.536 |
| 2026-Nov-11   | 01 47 09.54 -00 10 02.0 | 194.62  46.45 | 1.378 | 18.63 | 94.555 |
| 2026-Nov-14   | 01 47 03.21 -00 10 22.6 | 198.82  45.81 | 1.393 | 18.64 | 94.577 |
| 2026-Nov-17   | 01 46 57.04 -00 10 41.4 | 202.92  45.02 | 1.412 | 18.64 | 94.601 |
| 2026-Nov-20   | 01 46 51.02 -00 10 58.3 | 206.90  44.09 | 1.435 | 18.65 | 94.627 |
| 2026-Nov-23   | 01 46 45.19 -00 11 13.1 | 210.74  43.03 | 1.463 | 18.65 | 94.656 |
| 2026-Nov-26   | 01 46 39.56 -00 11 25.8 | 214.45  41.84 | 1.496 | 18.65 | 94.687 |
| 2026-Nov-29   | 01 46 34.14 -00 11 36.4 | 218.01  40.54 | 1.536 | 18.66 | 94.720 |
| 2026-Dec-02   | 01 46 28.96 -00 11 44.9 | 221.43  39.14 | 1.581 | 18.66 | 94.755 |
| 2026-Dec-05   | 01 46 24.01 -00 11 51.1 | 224.72  37.64 | 1.634 | 18.67 | 94.791 |
| 2026-Dec-08   | 01 46 19.33 -00 11 55.0 | 227.86  36.06 | 1.695 | 18.67 | 94.830 |
| 2026-Dec-11   | 01 46 14.93 -00 11 56.6 | 230.88  34.39 | 1.766 | 18.67 | 94.871 |
| 2026-Dec-14   | 01 46 10.82 -00 11 55.8 | 233.78  32.66 | 1.847 | 18.68 | 94.913 |
| 2026-Dec-17   | 01 46 07.01 -00 11 52.6 | 236.57  30.86 | 1.943 | 18.68 | 94.956 |
| 2026-Dec-20   | 01 46 03.52 -00 11 47.1 | 239.25  29.01 | 2.054 | 18.68 | 95.001 |
| 2026-Dec-23   | 01 46 00.34 -00 11 39.2 | 241.84  27.11 | 2.184 | 18.68 | 95.047 |
| 2026-Dec-26   | 01 45 57.50 -00 11 29.0 | 244.33  25.16 | 2.339 | 18.69 | 95.094 |
| 2026-Dec-29   | 01 45 55.00 -00 11 16.4 | 246.75  23.17 | 2.524 | 18.69 | 95.142 |
| 2027-Jan-01   | 01 45 52.85 -00 11 01.5 | 249.10  21.15 | 2.749 | 18.69 | 95.191 |
